author,commits,insertions,deletions,files_changed,first_commit,last_commit,total_lines
Casper da Costa-Luis,1525,87440,58266,4535,2015-06-15 17:32:56,2024-11-12 21:36:45,145706
Stephen L,203,6590,2153,322,2015-07-12 12:20:23,2020-07-17 04:11:18,8743
Kyle Altendorf,31,3078,1307,112,2018-08-22 23:50:13,2019-02-11 01:54:44,4385
Hadrien Mary,31,1545,757,85,2015-06-06 21:35:28,2015-10-12 04:36:41,2302
Richard Sheridan,18,415,162,18,2020-07-20 06:26:47,2021-01-10 06:12:28,577
Guangshuo CHEN,13,291,79,16,2017-12-11 02:12:40,2018-10-16 00:03:45,370
Ivan Ivanov,11,109,12,17,2014-02-03 17:08:20,2014-02-07 14:49:09,121
Mikhail Korobov,11,184,123,27,2015-04-17 06:38:12,2015-06-19 05:40:52,307
Noam Yorav-Raphael,8,145,21,9,2013-10-27 03:54:46,2014-01-16 06:19:48,166
Marcel Bargull,6,46,30,7,2018-03-19 00:50:06,2018-03-20 05:55:02,76
Nishant Rodrigues,5,125,51,7,2020-05-03 05:45:16,2020-05-03 05:45:16,176
richardsheridan,5,22,32,5,2021-01-10 06:14:56,2021-01-10 22:02:31,54
Guangshuo Chen,4,27,8,4,2017-10-11 14:44:50,2018-10-15 05:39:38,35
Mikhail Dektyarev,3,18,10,3,2020-02-16 23:04:57,2020-02-16 23:04:57,28
Joshua Coales,3,60,3,4,2021-03-02 17:56:35,2021-03-03 19:42:31,63
noamraph,3,92,3,5,2013-10-27 02:50:04,2014-01-10 16:06:45,95
Martin Zugnoni,3,1656,476,5,2019-01-19 05:17:33,2019-03-02 02:51:30,2132
Michał Górny,3,11,3,3,2020-06-03 17:32:24,2024-08-04 06:05:05,14
Matthew Stevens,3,82,23,3,2019-01-07 04:40:45,2019-01-12 03:16:45,105
Matthew D. Pagel,3,60,55,5,2017-09-10 00:47:00,2017-09-30 18:33:30,115
Charles Newey,3,50,30,4,2018-10-15 06:40:27,2018-10-15 06:40:27,80
Antony Lee,3,69,28,5,2019-11-22 06:47:39,2021-02-25 23:48:29,97
FichteFoll,2,9,1,3,2019-10-11 00:41:17,2019-10-11 00:41:19,10
HeoHeo,2,17,8,2,2020-07-08 17:51:45,2020-07-08 18:07:14,25
Guilherme Ruiz,2,90,50,2,2024-10-28 20:17:22,2024-10-28 20:17:26,140
Fabian Dill,2,4,4,2,2016-01-04 00:13:19,2016-01-04 00:41:17,8
Alex Rothberg,2,10,5,2,2017-06-07 00:02:48,2017-07-16 04:42:17,15
Alexander,2,6,6,2,2016-08-17 02:51:01,2018-04-03 18:04:28,12
MapleCCC,2,4,4,4,2021-07-31 04:33:05,2021-08-02 02:35:35,8
Nikolay Nechaev,2,14,4,2,2020-10-25 07:10:29,2020-10-25 07:10:29,18
Orivej Desh,2,28,26,2,2019-06-19 02:05:16,2019-06-19 02:05:16,54
Daniel Panteleit,2,53,2,4,2016-10-16 23:48:16,2016-10-16 23:55:57,55
Gregor Sturm,2,27,16,3,2021-03-17 01:51:58,2021-03-17 01:59:55,43
Hugo,2,8,7,4,2017-07-16 04:35:39,2018-05-22 01:50:24,15
Jack McCracken,2,9,6,2,2014-01-11 04:33:17,2014-01-11 04:54:35,15
Socialery,2,2,2,2,2015-07-14 16:08:04,2016-01-21 02:01:11,4
pgajdos,2,2606,2738,19,2020-10-25 02:39:14,2020-10-25 02:39:15,5344
Michael Boyle,2,7,7,2,2022-03-24 07:07:26,2022-03-24 07:07:31,14
RedBug312,2,17,4,3,2019-10-11 00:09:48,2019-10-11 00:11:31,21
Staffan Malmgren,2,3,2,2,2017-10-15 23:04:37,2017-10-15 23:04:37,5
Peter Hansen,2,8,1,2,2021-04-05 22:44:39,2021-04-05 22:44:39,9
Daniel Armbruster,1,1,1,1,2021-05-03 07:16:25,2021-05-03 07:16:25,2
CrazyPython,1,0,17,3,2016-08-18 06:32:49,2016-08-18 06:32:49,17
