period,insertions,deletions,commits,churn,churn_per_commit
2013-10,181,0,5,181,36.2
2014-01,71,31,9,102,11.333333333333334
2014-02,110,13,12,123,10.25
2015-01,4,3,1,7,7.0
2015-04,48,16,6,64,10.666666666666666
2015-06,1648,929,52,2577,49.55769230769231
2015-07,519,289,17,808,47.529411764705884
2015-09,1332,600,18,1932,107.33333333333333
2015-10,3755,1619,105,5374,51.180952380952384
2015-11,7049,3251,74,10300,139.1891891891892
2015-12,1364,328,37,1692,45.729729729729726
2016-01,3601,2167,61,5768,94.55737704918033
2016-02,992,599,14,1591,113.64285714285714
2016-03,70,72,8,142,17.75
2016-04,1434,425,29,1859,64.10344827586206
2016-05,1577,433,43,2010,46.74418604651163
2016-06,772,637,18,1409,78.27777777777777
2016-07,841,474,31,1315,42.41935483870968
2016-08,64,202,9,266,29.555555555555557
2016-09,46,29,6,75,12.5
2016-10,1031,192,21,1223,58.23809523809524
2016-11,740,155,19,895,47.10526315789474
2016-12,36,14,9,50,5.555555555555555
2017-01,1611,1109,31,2720,87.74193548387096
2017-02,5,2,2,7,3.5
2017-05,506,218,17,724,42.588235294117645
2017-06,3,3,1,6,6.0
2017-07,220,163,10,383,38.3
2017-08,142,130,2,272,136.0
2017-09,1173,657,33,1830,55.45454545454545
2017-10,874,347,27,1221,45.22222222222222
2017-11,14,10,2,24,12.0
2017-12,81,33,3,114,38.0
2018-01,316,254,4,570,142.5
2018-02,23,15,5,38,7.6
2018-03,626,508,17,1134,66.70588235294117
2018-04,1193,660,50,1853,37.06
2018-05,150,100,11,250,22.727272727272727
2018-06,44,9,3,53,17.666666666666668
2018-07,165,34,5,199,39.8
2018-08,341,138,15,479,31.933333333333334
2018-09,462,413,34,875,25.735294117647058
2018-10,1446,1100,30,2546,84.86666666666666
2019-01,8385,2776,52,11161,214.6346153846154
2019-02,4527,1424,38,5951,156.60526315789474
2019-03,306,159,18,465,25.833333333333332
2019-04,1,2,1,3,3.0
2019-05,2453,2112,23,4565,198.47826086956522
2019-06,1242,1181,11,2423,220.27272727272728
2019-07,58,12,4,70,17.5
2019-08,4081,3626,61,7707,126.34426229508196
2019-09,2800,2666,7,5466,780.8571428571429
2019-10,149,64,20,213,10.65
2019-11,1273,495,60,1768,29.466666666666665
2019-12,1974,538,56,2512,44.857142857142854
2020-01,1444,322,43,1766,41.06976744186046
2020-02,204,166,21,370,17.61904761904762
2020-03,1469,550,36,2019,56.083333333333336
2020-04,831,369,17,1200,70.58823529411765
2020-05,1282,259,30,1541,51.36666666666667
2020-06,817,191,30,1008,33.6
2020-07,2429,799,69,3228,46.78260869565217
2020-08,188,118,5,306,61.2
2020-09,1834,537,49,2371,48.38775510204081
2020-10,16595,16796,49,33391,681.4489795918367
2020-11,2042,2209,41,4251,103.6829268292683
2020-12,1100,1739,31,2839,91.58064516129032
2021-01,3276,2008,60,5284,88.06666666666666
2021-02,800,431,37,1231,33.270270270270274
2021-03,1408,523,34,1931,56.794117647058826
2021-04,2244,502,14,2746,196.14285714285714
2021-05,194,1822,11,2016,183.27272727272728
2021-06,82,35,12,117,9.75
2021-07,93,44,10,137,13.7
2021-08,195,134,16,329,20.5625
2021-09,460,552,17,1012,59.529411764705884
2021-10,56,20,5,76,15.2
2022-02,132,76,12,208,17.333333333333332
2022-03,38,31,8,69,8.625
2022-04,329,53,10,382,38.2
2022-08,2,2,1,4,4.0
2022-09,18,8,3,26,8.666666666666666
2023-03,891,1449,13,2340,180.0
2023-06,181,211,1,392,392.0
2023-08,1106,870,22,1976,89.81818181818181
2024-02,198,170,15,368,24.533333333333335
2024-05,133,108,7,241,34.42857142857143
2024-07,1,1,1,2,2.0
2024-08,59,41,10,100,10.0
2024-10,283,281,16,564,35.25
2024-11,27,39,6,66,11.0
