hash,short_hash,author_name,committer_name,date,message,headline,insertions,deletions,files_changed,lines_changed
fbe7952cce11e8073378b063bdae7ab277a96eb8,fbe7952,noamraph,noamraph,2013-10-27 02:50:04,Initial commit,Initial commit,60,0,3,60
edc7a4a0ad4c760a42534219789e08b50a9ee5d4,edc7a4a,noamraph,noamraph,2013-10-27 03:31:27,Update README.md,Update README.md,6,0,1,6
6ba85d464c588d7166f2aea897e5265ade93b9eb,6ba85d4,Noam Yorav-Raphael,Noam Yorav-Raphael,2013-10-27 03:54:46,Add tqdm.py,Add tqdm.py,100,0,1,100
d622b1807f4d5a5dd8f80bb3657aa8f9da9617fc,d622b18,Noam Yorav-Raphael,Noam Yorav-Raphael,2013-10-27 03:59:26,Add setup.py,Add setup.py,11,0,1,11
2ef7f7c6757e430f7a8a8302416ada65a6170b96,2ef7f7c,Noam Yorav-Raphael,Noam Yorav-Raphael,2013-10-27 04:06:04,Update setup.py with version (1.0),Update setup.py with version (1.0),4,0,2,4
a9db35ae26d5d54bc9731009d75f1b029d26bc0c,a9db35a,noamraph,noamraph,2014-01-10 16:06:45,Update README.md,Update README.md,26,3,1,29
6464656661ffafda8f68aae8c6e0f751cc1de78c,6464656,Jack McCracken,Jack McCracken,2014-01-11 04:33:17,"Added an argument to output to any filelike object.

Defaults to sys.stdout. My editor added a newline to the end of the
file, which is PEP8 compliant, so I left it in.",Added an argument to output to any filelike object.,7,6,1,13
2cc124dbe5e9d39023a2cbbd9e1d218dcb5b6fe5,2cc124d,Jack McCracken,Jack McCracken,2014-01-11 04:54:35,Added documentation for the output_to argument.,Added documentation for the output_to argument.,2,0,1,2
8962c1aef24f96767bfd7ccd7920585f1f38f790,8962c1a,arkottke,arkottke,2014-01-12 00:43:20,Added try/except for python3 compatibility.,Added try/except for python3 compatibility.,6,1,1,7
19c6f5416cd5964f9efe748eafde79ae50a92562,19c6f54,Noam Yorav-Raphael,Noam Yorav-Raphael,2014-01-12 05:33:42,Update trange docstring to reflect using range on py3,Update trange docstring to reflect using range on py3,1,1,1,2
4a2ab5b8af2937ba73f5aef3bcd3a16d6c2ad3a6,4a2ab5b,Noam Yorav-Raphael,Noam Yorav-Raphael,2014-01-12 05:40:14,"Merge branch 'output_to_arbitrary' of https://github.com/Auv5/tqdm into Auv5-output_to_arbitrary

Conflicts:
	tqdm.py",Merge branch 'output_to_arbitrary' of https://github.com/Auv5/tqdm into Auv5-output_to_arbitrary,8,5,1,13
0bd6dc84010e3c5d80ca2a6622b4b54e8ae345a3,0bd6dc8,Noam Yorav-Raphael,Noam Yorav-Raphael,2014-01-12 05:44:00,"Change the output_to argument to 'file', like in print().
Change the default to stderr, since I actually think it's more 'correct'.","Change the output_to argument to 'file', like in print().",8,8,1,16
2ad667d33819b4ccc28205ec96a376dc050f7256,2ad667d,Noam Yorav-Raphael,Noam Yorav-Raphael,2014-01-12 05:53:36,PEP8: Have two space lines before functions. Closes issue #1.,PEP8: Have two space lines before functions. Closes issue #1.,12,7,1,19
da5fdbf7c05a9127f04ac5887292457e8335f480,da5fdbf,Noam Yorav-Raphael,Noam Yorav-Raphael,2014-01-16 06:19:48,Print a newline after leave=True. Closes issue #6,Print a newline after leave=True. Closes issue #6,1,0,1,1
777314ce9a7f2b5fa842e010d899ea993a3025f7,777314c,Ivan Ivanov,Ivan Ivanov,2014-02-03 17:08:20,Ignore PyCharm IDE config files,Ignore PyCharm IDE config files,3,0,1,3
da4b29f3cd48726b21d1c37aff854d3e29ce1507,da4b29f,Ivan Ivanov,Ivan Ivanov,2014-02-03 17:45:38,First dumb test,First dumb test,23,0,3,23
a16cdc66c0c090e3320ceb4956dd3e711d824a2a,a16cdc6,Ivan Ivanov,Ivan Ivanov,2014-02-03 17:47:50,New lines at the end of files,New lines at the end of files,2,2,2,4
2f46d5468b7eaabfb23081669e6c1c2760a1bc16,2f46d54,Ivan Ivanov,Ivan Ivanov,2014-02-03 17:59:28,Test of format_meter (failed on py32),Test of format_meter (failed on py32),7,1,1,8
8bb8a1731be429f1a93dbc2b351e747faf355960,8bb8a17,Ivan Ivanov,Ivan Ivanov,2014-02-04 17:17:48,Another format meter test,Another format meter test,3,1,1,4
e2e15d1f4dae5e3dd190cd0ebfee8537723b600d,e2e15d1,Ivan Ivanov,Ivan Ivanov,2014-02-05 16:18:41,Fixed the calculation of rate in format_meter,Fixed the calculation of rate in format_meter,5,2,2,7
5f0c72dfd6a82891bd92c96ff6cae4872faf8357,5f0c72d,Ivan Ivanov,Ivan Ivanov,2014-02-05 16:19:33,Readme: how to run tests,Readme: how to run tests,6,0,1,6
7b62451047dc3aa7d2acefccbef1a57cc15e933a,7b62451,Ivan Ivanov,Ivan Ivanov,2014-02-05 16:20:24,Fixed the link to tox,Fixed the link to tox,1,1,1,2
ff2b39a1537a01c2eae576ba5b8da01dfaa55c8f,ff2b39a,Ford Hurley,Ford Hurley,2014-02-06 05:13:51,"Change 'iterator' to 'iterable' in README

http://docs.python.org/2/glossary.html#term-iterable",Change 'iterator' to 'iterable' in README,1,1,1,2
4539ebc92d59dd0388658fa482626185088222b8,4539ebc,Ivan Ivanov,Ivan Ivanov,2014-02-07 09:25:36,Test that tqdm fails when iterating over a csv file,Test that tqdm fails when iterating over a csv file,17,1,1,18
f565179a2e4487610790a8fdeccd0cccf2f2e2cb,f565179,Ivan Ivanov,Ivan Ivanov,2014-02-07 09:31:14,Another python 3 fix,Another python 3 fix,4,3,3,7
152dfd55bd5b53e6967acb97286b5b6a8faa7ab8,152dfd5,Ivan Ivanov,Ivan Ivanov,2014-02-07 14:49:09,Some more tests,Some more tests,38,1,1,39
cbc632262f0a8eaf3c5d2d65b866c37f29744513,cbc6322,stonebig,stonebig,2015-01-24 21:23:14,"do my wheel !

python setup.py sdist bdist_wheel",do my wheel !,4,3,2,7
5ed73386d1d57684ce17f809e996a95e26f33ab5,5ed7338,Mikhail Korobov,Mikhail Korobov,2015-04-17 06:38:12,Merge branch 'stonebig-master' into all-fixes,Merge branch 'stonebig-master' into all-fixes,4,3,2,7
2e6cee712c3365659141deb330dc49fec509248a,2e6cee7,Mikhail Korobov,Mikhail Korobov,2015-04-17 06:38:24,Merge branch 'fordhurley-master' into all-fixes,Merge branch 'fordhurley-master' into all-fixes,1,1,1,2
3d9fd154bcc75686706d00c4fc7bbe26988be99c,3d9fd15,Mikhail Korobov,Mikhail Korobov,2015-04-17 06:49:22,add more interpreters to tox.ini,add more interpreters to tox.ini,2,3,2,5
888775afe7552b0f93bb23f2e86667f677523824,888775a,Mikhail Korobov,Mikhail Korobov,2015-04-17 06:49:46,add Travis CI,add Travis CI,14,0,1,14
4c979245b5d7749b381b22daa11ed719369eed9d,4c97924,Mikhail Korobov,Mikhail Korobov,2015-04-17 07:01:18,add license and Python version info to setup.py,add license and Python version info to setup.py,24,8,1,32
ecc79f96291ca5f704cf56330598070d4798f89a,ecc79f9,Mikhail Korobov,Mikhail Korobov,2015-04-17 07:04:02,"add Travis badge to README

currently it points to my repo",add Travis badge to README,3,1,1,4
ccb05c2e041bbb2f9b3acccb2a80b48993d36f12,ccb05c2,Hadrien Mary,Hadrien Mary,2015-06-06 21:35:28,New tqdm module structure and add a Makefile,New tqdm module structure and add a Makefile,325,241,14,566
