file,function,line,complexity,type
std.py,tqdm.__init__,954,35,method
cli.py,main,156,34,function
std.py,tqdm.format_meter,465,28,method
std.py,tqdm.pandas,768,27,method
cli.py,cast,17,16,function
notebook.py,tqdm_notebook.display,139,16,method
std.py,tqdm.update,1198,15,method
cli.py,posix_pipe,55,11,function
std.py,tqdm.display,1464,10,method
utils.py,envwrap,34,10,function
gui.py,tqdm_gui.display,110,10,method
notebook.py,tqdm_notebook.__init__,202,9,method
keras.py,TqdmCallback.on_epoch_begin,73,9,method
std.py,tqdm.external_write_mode,727,9,method
std.py,tqdm.close,1265,9,method
_monitor.py,TMonitor.run,53,8,method
tk.py,tqdm_tk.__init__,33,8,method
notebook.py,tqdm_notebook.status_printer,95,8,method
std.py,Bar.colour,168,7,method
std.py,tqdm.set_postfix,1402,7,method
std.py,tqdm.__iter__,1160,7,method
logging.py,logging_redirect_tqdm,47,7,function
utils.py,DisableOnWriteError.disable_on_exception,188,7,method
std.py,tqdm.refresh,1325,6,method
std.py,Bar.__format__,186,6,method
tk.py,tqdm_tk.close,101,6,method
std.py,tqdm.clear,1309,6,method
std.py,tqdm._decr_instances,687,6,method
gui.py,tqdm_gui.__init__,27,5,method
notebook.py,tqdm_notebook.reset,289,5,method
notebook.py,tqdm_notebook.close,272,5,method
keras.py,TqdmCallback.__init__,32,5,method
std.py,tqdm.format_sizeof,371,5,method
std.py,tqdm.__new__,663,5,method
utils.py,_screen_shape_windows,297,5,function
utils.py,disp_trim,386,5,function
utils.py,_is_utf,252,5,function
utils.py,_screen_shape_linux,333,5,function
concurrent.py,process_map,72,5,function
discord.py,DiscordIO.write,59,5,method
discord.py,tqdm_discord.close,141,5,method
slack.py,SlackIO.write,39,5,method
telegram.py,TelegramIO.write,56,5,method
telegram.py,tqdm_telegram.close,138,5,method
utils_worker.py,MonoWorker.submit,22,5,method
